Date,Name,Event ID,Legacy Id,Event Status,Partner,Engagement Activity Type,Venue Name,Street Address,City,State,Zip,NN2 Venue Market,NN2 Consortia Partner Target Market,Event Recap Type Id,Collaboration Partner(s),Digital Recap | Digital Event Engagement,Digital Recap | # of Digital Event Attendees,Digital Recap | TWITTER,Digital Recap | # of Tweets,Digital Recap | Twitter Impressions,Digital Recap | Twitter Engagement,Digital Recap | FACEBOOK,Digital Recap | # of Facebook posts,Digital Recap | Facebook Reach,Digital Recap | Facebook Engagement,Digital Recap | INSTAGRAM,Digital Recap | # of Instagram posts,Digital Recap | Instagram Reach,Digital Recap | Instagram Impressions,Digital Recap | Instagram Engagement,Digital Recap | TWITTER CHAT,Digital Recap | # of Twitter Chat Attendees,Digital Recap | Twitter Chat Engagement,Digital Recap | FACEBOOK LIVE,Digital Recap | # of Facebook Live Attendees,Digital Recap | Facebook Live Engagement,Digital Recap | WhatsApp Reach,Digital Recap | LinkedIn Reach,Digital Recap | Blog Engagement,Digital Recap | Google Analytics Page Views,Digital Recap | Target/Primary Population,In-Person Recap | Est # of attendees,In-Person Recap | Est # of  Engagement,In-Person Recap | Reach of Tactic,In-Person Recap | Target/Primary Population,Hybrid Recap | Est # of attendees,Hybrid Recap | # of In-Person Attendees,Hybrid Recap | # of Virtual Attendees,Hybrid Recap | Est # of Engagement,Hybrid Recap | Target/Primary Population,Hybrid Recap | Most Resonating Messages,Non-Digital Non-Event Recap | Reach,"Non-Digital Non-Event Recap | If printed, how many were distributed?",Admin Recap | Accomplishments,Hybrid Recap | Concerns,Admin Recap | Barriers to participation,Admin Recap | Concerns expressed,Admin Recap | Challenges,Admin Recap | Lessons Learned,Admin Recap | Governance Activities Summary,Admin Recap | Best-resonating message,Admin Recap | Other notes,Partners | Digital - CPGI,Partners | Digital - CEP,Partners | Digital - FQHC,Partners | Digital - DV,Partners | In-Person - CPGI,Partners | In-Person - CEP,Partners | In-Person - DV,Partners | In-Person - HPO,Partners | In-Person - FQHC,Partners | Hybrid - CPGI,Partners | Hybrid - CEP,Partners | Hybrid - DV,Partners | Hybrid - HPO,Partners | Hybrid - FQHC,Partners | NonDig NonEvent - CPGI,Partners | NonDig NonEvent - CEP,Partners | NonDig NonEvent - DV,Partners | NonDig NonEvent - HPO,Partners | NonDig NonEvent - FQHC,Legacy | Organization Name,Legacy Recap | Est # of attendees,Legacy Recap | Est # of Engagement 1,Legacy Recap | Est # of Engagement 2,Legacy Recap | Name of Organization,Legacy Recap | YOUTUBE,Legacy Recap | # of YouTube videos,Legacy Recap | YouTube Reach,Legacy Recap | YouTube Engagement,Legacy Recap | TWITTER,Legacy Recap | # of Tweets,Legacy Recap | Twitter Impressions,Legacy Recap | Twitter Engagement,Legacy Recap | FACEBOOK,Legacy Recap | # of Facebook posts,Legacy Recap | Facebook Reach,Legacy Recap | Facebook Engagement,Legacy Recap | INSTAGRAM,Legacy Recap | # of Instagram posts,Legacy Recap | Instagram Reach,Legacy Recap | Instagram Impressions,Legacy Recap | Instagram Engagement,Legacy Recap | Instagram Exp Audience Reach,Legacy Recap | Target/Primary Population,Legacy Recap | Accomplishments,Legacy Recap | Challenges,Legacy Recap | Lessons Learned,Legacy Recap | Best-resonating Messages,Legacy Recap | Governance Activities Summary,Legacy Recap | Concerns Expressed,Legacy Recap | Barriers to Participation,Legacy Recap | Tactics and strategies,Legacy Recap | Other Notes,Digital Recap | CTA,Digital Recap | CTA Text 1,Digital Recap | CTA Text 2,Digital Recap | CTA Text 3,Digital Recap | CTA Text 4,Hybrid Recap | CTA,Hybrid Recap | CTA Text 1,Hybrid Recap | CTA Text 2,Hybrid Recap | CTA Text 3,Hybrid Recap | CTA Text 4,In-Person Recap | CTA,In-Person Recap | CTA Text 1,In-Person Recap | CTA Text 2,In-Person Recap | CTA Text 3,In-Person Recap | CTA Text 4,Non-Digital Non-Event Recap | CTA,Non-Digital Non-Event Recap | CTA Text 1,Non-Digital Non-Event Recap | CTA Text 2,Non-Digital Non-Event Recap | CTA Text 3,Non-Digital Non-Event Recap | CTA Text 4,Research Facing,TYPE,sum,Recap Type Submitted,#-Total Social Media Posts,#-Total Social Media Impressions,#-Total Social Media Engagement,#-Total Social Media Reach,#-Total Digital Attendees,#-Total Digital Engagement,#-Total Attendees,#-Total Engagement,#-Total Reach,#-Total Page Views,#-Total Material Distributed,Target Population,Partners Recapped,CTA,CTA Text,Accomplishments,Challenges,Lessons Learned,Barriers to Participation,Best-resonating message,Concerns expressed,Other notes,Governance Activities Summary
2022-03-31,Asian Health Coalition (SAAPRI) - Social Media Summary March,20084,,Finished,CEP,Social Media,Digital,Digital,Digital,IL,60613,"Chicago, IL / Target Market","Chicago, IL",4,,0,0,,17,1668,63,,6,398,42,,3,431,243,14,,0,0,,0,0,0,360,0,0,Asian,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallofus #allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,3245,Digital,26,1911,119,1189,0,0,0,0,0,0,0,Asian,Asian Health Coalition,Hashtag,#joinallofus #allofusarc,,,,,,,,
2022-03-31,NACCHO Social Media Report - March 2022,10645,,Finished,CPGI,Social Media,Digital - National,1201 I St NW,Washington,DC,20005,Washington D.C,DC/MD/VA,4,,0,0,,5,1396,21,,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,National Association of County and City Health Officials (NACCHO),,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,"Vanity URL, Hashtag",bit.ly/togetherAoU,#JoinAllofUs,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,1422,Digital,5,1396,21,0,0,0,0,0,0,0,0,,National Association of County and City Health Officials (NACCHO),"Vanity URL, Hashtag","bit.ly/togetherAoU, #JoinAllofUs",,,,,,,,
2022-03-31,AAHD Social Media Report March 2022,19771,,Finished,CEP,Social Media,AAHD,"110 N. Washington Street, Suite 407Rockville",Rockville,NY,20850,Maryland,DC/MD/VA,4,,0,0,,70,9583,251,,111,31478,1770,,47,20643,6473,357,,0,0,,0,0,0,0,0,0,Other,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,American Association on Health and Disabilty (AAHD),,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,70783,Digital,228,16056,2378,52121,0,0,0,0,0,0,0,Other,American Association on Health and Disabilty (AAHD),,,,,,,,,,
2022-03-31,"Asian Health Coalition (APIDC) - AoURP ""Why All of Us? Why Now?"" YouTube Video",20027,,Finished,CEP,Social Media,Digital,Digital,Digital,CA,Digital,California,Not a target market,4,,32,32,,0,0,0,,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI), Other",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallofus #allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,64,Digital,0,0,0,0,32,32,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI), Other",Asian Health Coalition,Hashtag,#joinallofus #allofusarc,,,,,,,,
2022-03-31,AAPA / Social media posts - March 2022,18589,472727.0,Finished,CPGI,Social Media,Digital Event,2318 Mill Rd,Alexandria,VA,22332,"Digital, Non-Event (social, digital advertising)",Not a target market,4,,0,0,,0,0,0,,6,36691,1085,,8,20583,22597,960,,0,0,,0,0,0,0,0,0,Other,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,American Academy of Physician Assistants (AAPA),,,,,,,,,,,,,,,,,,,American Academy of Physician Assistants,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,81930,Digital,14,22597,2045,57274,0,0,0,0,0,0,0,Other,American Academy of Physician Assistants (AAPA),,,,,,,,,,
2022-03-31,Asian Health Coalition (AMA) - Social Media Summary March,20024,,Finished,CEP,Social Media,Digital,Digital,Minneapolis,MN,55411,Minnesota,Not a target market,4,,0,0,,0,0,0,,45,181,14,,23,149,0,0,,0,0,,0,0,0,0,0,0,Asian,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallofus #allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,412,Digital,68,0,14,330,0,0,0,0,0,0,0,Asian,Asian Health Coalition,Hashtag,#joinallofus #allofusarc,,,,,,,,
2022-03-31,Asian Health Coalition (APIDC) - Social Media March Summary,20028,,Finished,CEP,Social Media,Digital,Digital,Digital,CA,Digital,California,Not a target market,4,,0,0,,0,0,0,,10,261,17,,0,0,0,0,,0,0,,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI), Other",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,,Asian Health Coalition,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#joinallofus #allofusarc,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,288,Digital,10,0,17,261,0,0,0,0,0,0,0,"Asian, Native Hawaiian or Other Pacific Islander (NHPI), Other",Asian Health Coalition,Hashtag,#joinallofus #allofusarc,,,,,,,,
2022-03-31,Cycle 3/CenterLink/Social Media Report March,10579,,Finished,CPGI,Social Media,Digital,PO Box 24490,Fort Lauderdale,FL,33307,Florida,,4,,0,0,,2,2,2,,2,2,2,,2,2,2,2,,0,0,,0,0,0,0,0,0,Sexual and Gender Minorities (LGBTQ),0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,CenterLink,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Hashtag,,#JoinAllofUs,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,20,Digital,6,4,6,4,0,0,0,0,0,0,0,Sexual and Gender Minorities (LGBTQ),CenterLink,Hashtag,#JoinAllofUs,,,,,,,,
2022-04-01,NRHA /Cycle 3 April 2022 Social Media Report,19882,,Finished,CPGI,Social Media,Digital Event,50 F St NW,Washington,DC,20001,"Digital, Non-Event (social, digital advertising)",Not a target market,4,,0,0,,2,584,16,,2,697,11,,0,0,0,0,,0,0,,0,0,0,0,0,0,Rural,0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,National Rural Health Association (NRHA),,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,Bitly,,,http://bit.ly/togetherAoU,,,,,,,,,,,,,,,,,Yes,SOCIAL MEDIA,1312,Digital,4,584,27,697,0,0,0,0,0,0,0,Rural,National Rural Health Association (NRHA),Bitly,http://bit.ly/togetherAoU,,,,,,,,
2022-04-06,YMCA of the Capital Area- Social Media ,19718,,Finished,CPGI,Social Media,AC Lewis ,350 S Foster Dr,Baton Rouge,LA,70806,Louisiana Regional Market - Baton Rouge,"Baton Rouge, LA",4,,0,0,,1,55,0,,1,799,9,,0,0,0,0,,0,0,,0,0,0,0,0,0,"Black, African or African American, Income - Middle, Income - Low, Hispanic, Latino or Spanish (H/L/S), Middle Eastern or North African (MENA), Older Adults",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,YMCA of the Capital Area,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,"Vanity URL, Hashtag",JoinAllOfUs.org,#JoinAllOfUs #NMHM19 #MinorityHealthMonth,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,865,Digital,2,55,9,799,0,0,0,0,0,0,0,"Black, African or African American, Income - Middle, Income - Low, Hispanic, Latino or Spanish (H/L/S), Middle Eastern or North African (MENA), Older Adults",YMCA of the Capital Area,"Vanity URL, Hashtag","JoinAllOfUs.org, #JoinAllOfUs #NMHM19 #MinorityHealthMonth",,,,,,,,
2022-04-13,YMCA of the Capital Area- Social Media ,19719,,Finished,CPGI,Social Media,AC Lewis ,350 S Foster Dr,Baton Rouge,LA,70806,Louisiana Regional Market - Baton Rouge,"Baton Rouge, LA",4,,0,0,,1,66,1,,1,763,3,,0,0,0,0,,0,0,,0,0,0,0,0,0,"Black, African or African American, Asian, Income - Middle, Income - Low, Hispanic, Latino or Spanish (H/L/S), Native Hawaiian or Other Pacific Islander (NHPI), Older Adults",0,0,0,,0,0,0,0,,,0,0,,,,,,,,,,YMCA of the Capital Area,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,"Vanity URL, Hashtag",JoinAllOfUs.org,#JoinAllofUs #NMHM19 #MinorityHealthMonth,,,,,,,,,,,,,,,,,,No,SOCIAL MEDIA,835,Digital,2,66,4,763,0,0,0,0,0,0,0,"Black, African or African American, Asian, Income - Middle, Income - Low, Hispanic, Latino or Spanish (H/L/S), Native Hawaiian or Other Pacific Islander (NHPI), Older Adults",YMCA of the Capital Area,"Vanity URL, Hashtag","JoinAllOfUs.org, #JoinAllofUs #NMHM19 #MinorityHealthMonth",,,,,,,,
